,Namn,Land,Pris(SEK),Literpris,Produktnummer,Förpackning,Volym(mml),Alkoholhalt(%),Sockerhalt(gram/l),passar_till,rawdata,rawdata1,Årgång,Doft,Färg,Råvaror,Smakbeskrivning,Lamm,Nöt,Fågel,Fläsk,Dessert,Vilt,Ost,nyanserad,komplex,fruktig,kryddig,fatkaraktär,utvecklad,bärig,fat,ungdomlig,Flaska,Box,Magnum,PET-flaska,Italien,Frankrike,Spanien,USA,Sydafrika,Australien,Argentina,Chile,Portugal,Nya Zeeland,Österrike
10,San Leonardo,Italien,549,"Jfr.pris 732,00 kr/l', 'Jfr.pris 732,00 kr/l",['92239'],Flaska 750 ml,750.0,13.0,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","Cabernet sauvignon, carmenère och merlot.', 'Mörk, röd färg med tegelnyans.', 'Nyanserad, kryddig, utvecklad doft med fatkaraktär, inslag av torkade körsbär, kanel, kakao, nougat, rosmarin och pomerans.', 'Nyanserad, kryddig, utvecklad smak med fatkaraktär, inslag av plommon, kakao, nougat, lagerblad, lingon, kryddnejlia och pomerans.', 'Kan lagras.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorCabernet sauvignon, carmenère och merlot.FärgMörk, röd färg med tegelnyans.DoftNyanserad, kryddig, utvecklad doft med fatkaraktär, inslag av torkade körsbär, kanel, kakao, nougat, rosmarin och pomerans.SmakbeskrivningNyanserad, kryddig, utvecklad smak med fatkaraktär, inslag av plommon, kakao, nougat, lagerblad, lingon, kryddnejlia och pomerans.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2013'],"['Nyanserad, kryddig, utvecklad doft med fatkaraktär, inslag av torkade körsbär, kanel, kakao, nougat, rosmarin och pomerans']","['Mörk, röd färg med tegelnyans']","['Cabernet sauvignon, carmenère och merlot']","['nyanserad, kryddig, utvecklad smak med fatkaraktär, inslag av plommon, kakao, nougat, lagerblad, lingon, kryddnejlia och pomerans']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Nervi,Italien,499,"Jfr.pris 665,33 kr/l', 'Jfr.pris 665,33 kr/l",['92241'],Flaska 750 ml,750.0,13.5,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","Ljus, röd färg.', 'Nyanserad, något utvecklad, kryddig doft med fatkaraktär, inslag av nypon, torkade körsbär, nougat, viol, kardemumma och tjära.', 'Nyanserad, något utvecklad, kryddig smak med fatkaraktär, inslag av nypon, torkade körsbär, nougat, kakao, viol, kardemumma och tjära.', 'Kan lagras.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","FärgLjus, röd färg.DoftNyanserad, något utvecklad, kryddig doft med fatkaraktär, inslag av nypon, torkade körsbär, nougat, viol, kardemumma och tjära.SmakbeskrivningNyanserad, något utvecklad, kryddig smak med fatkaraktär, inslag av nypon, torkade körsbär, nougat, kakao, viol, kardemumma och tjära.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2015'],"['Nyanserad, något utvecklad, kryddig doft med fatkaraktär, inslag av nypon, torkade körsbär, nougat, viol, kardemumma och tjära']","['Ljus, röd färg']",[],"['nyanserad, något utvecklad, kryddig smak med fatkaraktär, inslag av nypon, torkade körsbär, nougat, kakao, viol, kardemumma och tjära']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Barolo Unio,Italien,649,"Jfr.pris 865,33 kr/l', 'Jfr.pris 865,33 kr/l",['92244'],Flaska 750 ml,750.0,14.0,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","Nebbiolo.', 'Mörk, röd färg.', 'Komplex, kryddig doft med inslag av körsbär, rökig mineral, jordgubbar, tobak, bergamott, ceder och nougat.', 'Komplex, kryddig smak med inslag av körsbär, jordgubbar, nypon, bergamott, sandelträ, blodapelsin, kanel och nougat.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorNebbiolo.FärgMörk, röd färg.DoftKomplex, kryddig doft med inslag av körsbär, rökig mineral, jordgubbar, tobak, bergamott, ceder och nougat.SmakbeskrivningKomplex, kryddig smak med inslag av körsbär, jordgubbar, nypon, bergamott, sandelträ, blodapelsin, kanel och nougat.FyllighetFruktsyraSträvhetPassar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2014'],"['Komplex, kryddig doft med inslag av körsbär, rökig mineral, jordgubbar, tobak, bergamott, ceder och nougat']","['Mörk, röd färg']",['Nebbiolo'],"['komplex, kryddig smak med inslag av körsbär, jordgubbar, nypon, bergamott, sandelträ, blodapelsin, kanel och nougat']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Tilenus Pagos de Posada,Spanien,189,"Jfr.pris 252,00 kr/l', 'Jfr.pris 252,00 kr/l",['92252'],Flaska 750 ml,750.0,14.5,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","Mencía.', 'Tät, mörk, rödblå färg.', 'Nyanserad, något utvecklad doft med fatkaraktär, inslag av plommon, lavendel, björnbär, mörk choklad, svarta oliver, körsbär och svartpeppar.', 'Något utvecklat, smakrikt vin med fatkaraktär, inslag av plommon, tobak, björnbär, kakao, svarta oliver, kanel, körsbär och svartpeppar.', 'Kan lagras.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorMencía.FärgTät, mörk, rödblå färg.DoftNyanserad, något utvecklad doft med fatkaraktär, inslag av plommon, lavendel, björnbär, mörk choklad, svarta oliver, körsbär och svartpeppar.SmakbeskrivningNågot utvecklat, smakrikt vin med fatkaraktär, inslag av plommon, tobak, björnbär, kakao, svarta oliver, kanel, körsbär och svartpeppar.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2013'],"['Nyanserad, något utvecklad doft med fatkaraktär, inslag av plommon, lavendel, björnbär, mörk choklad, svarta oliver, körsbär och svartpeppar']","['Tät, mörk, rödblå färg']",['Mencía'],"['något utvecklat, smakrikt vin med fatkaraktär, inslag av plommon, tobak, björnbär, kakao, svarta oliver, kanel, körsbär och svartpeppar']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,San Leonardo,Italien,1199,"Jfr.pris 799,33 kr/l', 'Jfr.pris 799,33 kr/l",['99273'],Magnum 1500 ml,1500.0,13.0,[],Null,Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2013'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Château Lanessan,Frankrike,187,"Jfr.pris 249,33 kr/l', 'Jfr.pris 249,33 kr/l",['95144'],Flaska 750 ml,750.0,13.5,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","Cabernet sauvignon, merlot och petit verdot.', 'Tät, mörk, blåröd färg.', 'Nyanserad doft med fatkaraktär, inslag av blåbär, mynta, svarta vinbär, ceder, choklad, kaffe och vanilj.', 'Smakrikt, nyanserat vin med fatkaraktär, inslag av mörka körsbär, mynta, svarta vinbär, ceder, kakao, kaffe och timjan.', 'Kan lagras.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorCabernet sauvignon, merlot och petit verdot.FärgTät, mörk, blåröd färg.DoftNyanserad doft med fatkaraktär, inslag av blåbär, mynta, svarta vinbär, ceder, choklad, kaffe och vanilj.SmakbeskrivningSmakrikt, nyanserat vin med fatkaraktär, inslag av mörka körsbär, mynta, svarta vinbär, ceder, kakao, kaffe och timjan.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2016'],"['Nyanserad doft med fatkaraktär, inslag av blåbär, mynta, svarta vinbär, ceder, choklad, kaffe och vanilj']","['Tät, mörk, blåröd färg']","['Cabernet sauvignon, merlot och petit verdot']","['smakrikt, nyanserat vin med fatkaraktär, inslag av mörka körsbär, mynta, svarta vinbär, ceder, kakao, kaffe och timjan']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mauro,Italien,40,"Jfr.pris 106,67 kr/l', 'Jfr.pris 106,67 kr/l",['32364'],Flaska 375 ml,375.0,14.0,['10'],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Buffémat', 'Fläsk', 'Lamm","Mörk, blåröd färg.', 'Mycket fruktig doft med inslag av fat, blåbär, björnbär, lakrits och vanilj.', 'Mycket fruktig smak med inslag av fat, blåbär, björnbärssylt, lakrits och vanilj.', 'Serveras vid cirka 16°C till rätter av fläsk- eller lammkött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","FärgMörk, blåröd färg.DoftMycket fruktig doft med inslag av fat, blåbär, björnbär, lakrits och vanilj.SmakbeskrivningMycket fruktig smak med inslag av fat, blåbär, björnbärssylt, lakrits och vanilj.FyllighetFruktsyraSträvhetPassar tillServeras vid cirka 16°C till rätter av fläsk- eller lammkött.BuffématFläskLammAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2018'],"['Mycket fruktig doft med inslag av fat, blåbär, björnbär, lakrits och vanilj']","['Mörk, blåröd färg']",[],"['mycket fruktig smak med inslag av fat, blåbär, björnbärssylt, lakrits och vanilj']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Lacoste-Borie,Frankrike,479,"Jfr.pris 638,67 kr/l', 'Jfr.pris 638,67 kr/l",['92125'],Flaska 750 ml,750.0,13.5,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","62% cabernet sauvignon, 32% merlot och 6% cabernet franc.', 'Mörk, röd färg.', 'Komplex, utvecklad doft med rostad fatkaraktär, inslag av svarta vinbär, ceder, korinter, tobak och choklad.', 'Komplex, utvecklad smak med rostad fatkaraktär, inslag av svarta vinbär, ceder, korinter, tobak, kaffe och kakao.', 'Kan lagras.', '\tServeras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","Råvaror62% cabernet sauvignon, 32% merlot och 6% cabernet franc.FärgMörk, röd färg.DoftKomplex, utvecklad doft med rostad fatkaraktär, inslag av svarta vinbär, ceder, korinter, tobak och choklad.SmakbeskrivningKomplex, utvecklad smak med rostad fatkaraktär, inslag av svarta vinbär, ceder, korinter, tobak, kaffe och kakao.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar till\tServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2010'],"['Komplex, utvecklad doft med rostad fatkaraktär, inslag av svarta vinbär, ceder, korinter, tobak och choklad']","['Mörk, röd färg']","['62% cabernet sauvignon, 32% merlot och 6% cabernet franc']","['komplex, utvecklad smak med rostad fatkaraktär, inslag av svarta vinbär, ceder, korinter, tobak, kaffe och kakao']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Château Canon,Frankrike,1882,"Jfr.pris 2 509,33 kr/l', 'Jfr.pris 2 509,33 kr/l",['92268'],Flaska 750 ml,750.0,14.0,[],Null,Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2016'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Santa Vittoria,Italien,349,"Jfr.pris 116,33 kr/l', 'Jfr.pris 116,33 kr/l",['2008'],Box 3000 ml,3000.0,13.0,['3'],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","49% barbera, 41,2% nebbiolo och 9,8% dolcetto.', 'Mörk, blåröd färg.', 'Kryddig, nyanserad doft med fatkaraktär, inslag av torkade körsbär, jordgubbar, choklad, lakrits, timjan, rosor och kanel.', 'Kryddig, nyanserad smak med fatkaraktär, inslag av torkade körsbär, jordgubbar, kakao, rosmarin, lakrits, rosor och kryddpeppar.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","Råvaror49% barbera, 41,2% nebbiolo och 9,8% dolcetto.FärgMörk, blåröd färg.DoftKryddig, nyanserad doft med fatkaraktär, inslag av torkade körsbär, jordgubbar, choklad, lakrits, timjan, rosor och kanel.SmakbeskrivningKryddig, nyanserad smak med fatkaraktär, inslag av torkade körsbär, jordgubbar, kakao, rosmarin, lakrits, rosor och kryddpeppar.FyllighetFruktsyraSträvhetPassar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2017'],"['Kryddig, nyanserad doft med fatkaraktär, inslag av torkade körsbär, jordgubbar, choklad, lakrits, timjan, rosor och kanel']","['Mörk, blåröd färg']","['49% barbera, 41,2% nebbiolo och 9,8% dolcetto']","['kryddig, nyanserad smak med fatkaraktär, inslag av torkade körsbär, jordgubbar, kakao, rosmarin, lakrits, rosor och kryddpeppar']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Hill of Grace,Australien,5570,"Jfr.pris 7 426,67 kr/l', 'Jfr.pris 7 426,67 kr/l",['90435'],Flaska 750 ml,750.0,14.5,[],Null,Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2012'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Château Talbot,Frankrike,725,"Jfr.pris 966,67 kr/l', 'Jfr.pris 966,67 kr/l",['92282'],Flaska 750 ml,750.0,12.0,[],Null,Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2016'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
